Electrical,Electrical-02MDB02,Phase-A-Voltage,ns=2;points/PM1$242eVoltageA$242dN1,float,20,influxdb
Electrical,Electrical-02MDB02,Phase-B-Voltage,ns=2;points/PM1$242eVoltageB$242dN2,float,20,influxdb
Electrical,Electrical-02MDB02,Phase-C-Voltage,ns=2;points/PM1$242eVoltageC$242dN2,float,20,influxdb
Electrical,Electrical-Air-Compressor,Active-Power,ns=2;points/PM8$242eActivePowerTotal2,float,20,influxdb
Electrical,Electrical-Air-Compressor,Energy,ns=2;points/PM8$242eEnergy2,float,20,influxdb
Electrical,Electrical-Air-Compressor,Maximum-Demand,ns=2;points/PM8$242ePeakDemand2,float,20,influxdb
Electrical,Electrical-Air-Compressor,Power-factor,ns=2;points/PM8$242ePowerFactor,float,20,influxdb
Electrical,Electrical-A-Office,03LP1-Main-Guard-House-Energy,ns=2;points/PM7$242eEnergy2,float,20,influxdb
Electrical,Electrical-A-Office,AMCC108-HVAC-Active-Power,ns=2;points/PM5$242eActivePowerTotal2,float,20,influxdb
Electrical,Electrical-A-Office,AMCC-108--HVAC-Energy,ns=2;points/PM5$242eEnergy2,float,20,influxdb
Electrical,Electrical-A-Office,AMCC108-HVAC--Peak-Demand,ns=2;points/PM5$242ePeakDemand2,float,20,influxdb
Electrical,Electrical-A-Office,General-Energy,ns=2;points/PM26$242eEnergy,float,20,influxdb
Electrical,Electrical-A-Office,General-Power-Maximum-Demand,ns=2;points/PM26$242ePeakDemand,float,20,influxdb
Electrical,Electrical-A-Office,General-Power,ns=2;points/PM26$242eActivePowerTotal1,float,20,influxdb
Electrical,Electrical-A-Office,General-Power-Power-Factor,ns=2;points/PM26$242ePowerFactor,float,20,influxdb
Electrical,Electrical-A-Office,Incoming-Active-Power,ns=2;points/PM1$242eActivePowerTotal2,float,20,influxdb
Electrical,Electrical-A-Office,Incoming-Energy,ns=2;points/PM1$242eEnergy2,float,20,influxdb
Electrical,Electrical-A-Office,Incoming-Peak-Demand,ns=2;points/PM1$242ePeakDemand2,float,20,influxdb
Electrical,Electrical-A-Office,LP101-Lighting-Active-Power,ns=2;points/PM2$242eActivePowerTotal2,float,20,influxdb
Electrical,Electrical-A-Office,LP-101-Lighting-Energy,ns=2;points/PM2$242eEnergy2,float,20,influxdb
Electrical,Electrical-A-Office,LP101-Lighting-Peak-Demand,ns=2;points/PM2$242ePeakDemand2,float,20,influxdb
Electrical,Electrical-A-Office,LP102-Power-Outlets-Active-Power,ns=2;points/PM3$242eActivePowerTotal2,float,20,influxdb
Electrical,Electrical-A-Office,LP-102-Power-Outlets-Energy,ns=2;points/PM3$242eEnergy2,float,20,influxdb
Electrical,Electrical-A-Office,LP102-Power-Outlets-Peak-Demand,ns=2;points/PM3$242ePeakDemand2,float,20,influxdb
Electrical,Electrical-A-Office,LP103-HVAC-Active-Power,ns=2;points/PM4$242eActivePowerTotal3,float,20,influxdb
Electrical,Electrical-A-Office,LP-103-HVAC-Energy,ns=2;points/PM4$242eEnergy2,float,20,influxdb
Electrical,Electrical-A-Office,LP103-HVAC-Peak-Demand,ns=2;points/PM4$242ePeakDemand4,float,20,influxdb
Electrical,Electrical-A-Office,UPS-02-Server-Room-Active-Power,ns=2;points/PM6$242eActivePowerTotal2,float,20,influxdb
Electrical,Electrical-A-Office,UPS02-Server-Room--Energy,ns=2;points/PM6$242eEnergy2,float,20,influxdb
Electrical,Electrical-A-Office,UPS-02-Server-Room-Peak-Demand,ns=2;points/PM6$242ePeakDemand2,float,20,influxdb
